[[0.77777778]],[[2.06232775]]
[[1.]],[[2.24392363]]
[[1.]],[[2.2538945]]
[[0.55555556]],[[2.15978757]]
[[0.77777778]],[[2.14798614]]
[[0.77777778]],[[2.25994487]]
[[1.]],[[1.86946395]]
[[1.]],[[2.07823516]]
[[1.]],[[2.25591489]]
[[0.66666667]],[[2.33807088]]
[[0.77777778]],[[2.26336472]]
[[0.55555556]],[[2.12820384]]
[[0.66666667]],[[2.12545369]]
[[0.77777778]],[[2.15925235]]
[[0.77777778]],[[2.15080848]]
[[0.88888889]],[[2.19526164]]
[[0.66666667]],[[2.14771914]]
[[0.88888889]],[[2.26648845]]
[[0.88888889]],[[2.22103369]]
[[0.33333333]],[[2.16474802]]
[[0.]],[[2.14486196]]
[[0.55555556]],[[2.29003974]]
[[0.66666667]],[[2.17385132]]
[[0.77777778]],[[2.2314998]]
[[0.44444444]],[[2.14521742]]
[[0.66666667]],[[2.33552769]]
[[0.66666667]],[[2.13634745]]
[[0.77777778]],[[2.15762308]]
[[0.88888889]],[[2.13346335]]
[[0.77777778]],[[2.27176983]]
[[0.77777778]],[[2.32071976]]
[[1.]],[[2.28672295]]
[[0.88888889]],[[2.18278908]]
[[0.66666667]],[[2.03713569]]
[[0.77777778]],[[2.27271051]]
[[0.88888889]],[[2.23568046]]
[[0.77777778]],[[2.26612163]]
[[0.77777778]],[[2.04430551]]
[[0.88888889]],[[2.18814032]]
[[0.88888889]],[[2.28758927]]
[[1.]],[[2.20573327]]
[[0.77777778]],[[2.08650163]]
[[0.88888889]],[[2.18209213]]
[[0.55555556]],[[2.12254815]]
[[1.]],[[2.2365408]]
[[0.88888889]],[[2.20012558]]
[[0.77777778]],[[2.27951]]
[[0.77777778]],[[2.27342397]]
[[0.66666667]],[[2.16866759]]
[[1.]],[[2.14694657]]
[[1.]],[[2.28060477]]
[[0.77777778]],[[2.28583146]]
[[0.66666667]],[[2.06420266]]
[[1.]],[[2.23559302]]
[[0.77777778]],[[2.27066575]]
[[0.55555556]],[[1.95417297]]
[[0.66666667]],[[2.15080508]]
[[0.44444444]],[[2.14943847]]
[[0.88888889]],[[2.27422029]]
[[0.66666667]],[[2.27672726]]
[[0.]],[[2.16234608]]
[[0.66666667]],[[2.15897971]]
[[1.]],[[1.92394463]]
[[0.88888889]],[[2.24986051]]
[[0.88888889]],[[2.24351965]]
[[0.55555556]],[[2.21161639]]
[[0.88888889]],[[2.2747051]]
[[0.77777778]],[[2.17907346]]
[[0.66666667]],[[2.05493121]]
[[0.55555556]],[[2.15857639]]
[[0.88888889]],[[2.10803326]]
[[0.11111111]],[[1.84920748]]
[[0.66666667]],[[2.27362533]]
[[0.55555556]],[[2.14605069]]
[[0.77777778]],[[2.30485962]]
[[0.88888889]],[[2.28880516]]
[[0.88888889]],[[2.26617076]]
[[0.66666667]],[[2.20652015]]
[[0.22222222]],[[2.15017183]]
[[0.88888889]],[[2.24645171]]
[[0.44444444]],[[2.1527907]]
[[0.88888889]],[[2.13895805]]
[[0.77777778]],[[2.26947696]]
[[0.88888889]],[[2.21270536]]
[[1.]],[[2.1246732]]
[[1.]],[[2.29859964]]
[[1.]],[[2.2782779]]
[[0.77777778]],[[2.14953875]]
[[0.77777778]],[[2.27646967]]
[[0.77777778]],[[2.08373287]]
[[0.66666667]],[[2.0917132]]
[[0.77777778]],[[2.27653379]]
[[0.66666667]],[[2.29445135]]
[[0.66666667]],[[2.08200081]]
[[0.77777778]],[[2.09780896]]
[[0.66666667]],[[2.26733381]]
[[1.]],[[2.20543252]]
[[0.88888889]],[[2.05735329]]
[[1.]],[[2.34258792]]
[[0.11111111]],[[2.28917726]]
[[0.77777778]],[[2.30714606]]
[[1.]],[[2.17412712]]
[[0.66666667]],[[2.28769286]]
[[0.77777778]],[[2.15484445]]
[[0.66666667]],[[2.28421083]]
[[0.77777778]],[[2.09952456]]
[[0.44444444]],[[1.94689042]]
[[0.44444444]],[[1.97108566]]
[[0.55555556]],[[2.16730344]]
[[0.66666667]],[[2.2634412]]
[[0.77777778]],[[2.33030387]]
[[0.33333333]],[[1.96559117]]
[[0.77777778]],[[2.12112975]]
[[0.77777778]],[[2.10458177]]
[[0.55555556]],[[2.1458313]]
[[0.66666667]],[[2.22497565]]
[[0.66666667]],[[2.1987531]]
[[1.]],[[2.27188605]]
[[1.]],[[2.26056701]]
[[0.66666667]],[[2.21106195]]
[[0.66666667]],[[2.14971636]]
[[0.77777778]],[[2.24806577]]
[[0.77777778]],[[2.28571098]]
[[0.77777778]],[[2.18928125]]
[[0.66666667]],[[2.16466394]]
[[0.88888889]],[[2.27047607]]
[[0.55555556]],[[2.21939281]]
[[0.77777778]],[[2.25649103]]
[[0.77777778]],[[2.08596305]]
[[1.]],[[2.19890569]]
[[0.88888889]],[[2.27738109]]
[[0.88888889]],[[2.27204649]]
[[0.88888889]],[[2.23125817]]
[[0.66666667]],[[2.27386845]]
[[0.55555556]],[[1.97782312]]
[[0.77777778]],[[2.34651464]]
[[1.]],[[2.2723303]]
[[1.]],[[2.23638313]]
[[0.55555556]],[[2.31016338]]
[[0.77777778]],[[2.16863781]]
[[0.66666667]],[[2.13887043]]
[[1.]],[[2.17244705]]
[[0.88888889]],[[2.1414338]]
[[1.]],[[2.18696642]]
[[0.66666667]],[[2.2184379]]
[[0.88888889]],[[2.1734608]]
[[0.88888889]],[[2.23050558]]
[[0.88888889]],[[2.08913391]]
[[0.77777778]],[[2.19411562]]
[[0.11111111]],[[2.15379117]]
[[0.77777778]],[[2.20468412]]
[[0.77777778]],[[2.20047168]]
[[0.55555556]],[[2.14193905]]
[[0.66666667]],[[2.28800281]]
[[0.77777778]],[[2.15567804]]
[[0.66666667]],[[2.19414569]]
[[1.]],[[2.17575899]]
[[0.88888889]],[[2.26121368]]
[[0.88888889]],[[2.35011436]]
[[0.66666667]],[[2.26380176]]
[[0.11111111]],[[2.13172566]]
[[1.]],[[2.1796121]]
[[0.77777778]],[[2.16910461]]
[[0.77777778]],[[2.20254784]]
[[0.66666667]],[[2.30020768]]
[[0.77777778]],[[2.31430984]]
[[0.66666667]],[[2.21755583]]
[[0.66666667]],[[2.21731469]]
[[0.77777778]],[[2.30122186]]
[[1.]],[[2.28666981]]
[[0.55555556]],[[2.23315158]]
[[1.]],[[2.18040906]]
[[0.22222222]],[[2.25247851]]
[[0.77777778]],[[2.20630062]]
[[0.77777778]],[[2.23936372]]
[[0.66666667]],[[2.20842557]]
[[0.66666667]],[[2.30304821]]
[[0.77777778]],[[2.2929737]]
[[0.77777778]],[[2.26266318]]
[[1.]],[[2.38079182]]
[[0.77777778]],[[2.31862813]]
[[1.]],[[2.37704929]]
[[1.]],[[2.15058132]]
[[0.88888889]],[[2.23061767]]
[[1.]],[[2.27465908]]
[[1.]],[[2.08502283]]
[[0.88888889]],[[2.20314127]]
[[0.88888889]],[[2.1484078]]
[[1.]],[[2.31237166]]
[[0.88888889]],[[2.20049572]]
[[1.]],[[2.26042578]]
[[0.88888889]],[[2.23975374]]
[[0.33333333]],[[2.18338138]]
[[0.33333333]],[[2.23092642]]
[[0.33333333]],[[1.99894203]]
[[0.44444444]],[[2.24337822]]
[[0.44444444]],[[2.31663733]]
[[0.55555556]],[[2.22734712]]
[[0.88888889]],[[2.22529309]]
[[0.77777778]],[[2.2083051]]
[[0.77777778]],[[2.31176189]]
[[1.]],[[2.29361529]]
[[0.33333333]],[[2.17606543]]
[[1.]],[[2.12671928]]
[[0.77777778]],[[2.29158433]]
[[0.55555556]],[[2.23134033]]
[[1.]],[[2.14712106]]
[[1.]],[[2.31742863]]
[[0.44444444]],[[2.21630748]]
[[0.22222222]],[[2.04809165]]
[[0.66666667]],[[2.14406433]]
[[1.]],[[2.20804514]]
[[0.66666667]],[[1.99360606]]
[[0.55555556]],[[2.02502486]]
[[0.44444444]],[[1.87174518]]
[[0.77777778]],[[2.30446842]]
